object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff,worthwhile
259,1218.4,1156.8,1234.8,0.419,2.75,78.0,1
261,0.8,-27.2,24.0,0.583,3.35,51.2,1
270,-51.6,-111.6,50.4,0.452,2.38,162.0,1
272,144.8,69.2,212.8,0.363,2.13,143.6,1
276,-64.0,-86.0,14.4,0.412,2.75,100.4,1
276,920.4,896.8,944.8,0.335,2.48,48.0,1
284,4.8,-19.6,30.4,0.269,2.19,50.0,1
290,0.8,-9.6,11.6,0.574,3.64,21.2,1
291,67.6,-12.8,123.6,0.363,2.71,136.4,1
294,8.0,-10.0,27.6,0.564,4.03,37.6,1
308,-1016.0,-1083.6,-1004.4,0.484,2.38,79.2,1
309,2378.4,2309.6,2449.2,0.393,2.46,139.6,1
317,-174.4,-183.6,-160.8,0.5,2.47,22.8,1
317,81.2,8.8,108.4,0.468,2.61,99.6,1
329,-16.8,-25.6,9.6,0.256,2.21,35.2,1
330,13.2,-4.8,48.4,0.357,2.43,53.2,1
331,-22.8,-45.6,18.4,0.298,2.37,64.0,1
337,-50.8,-88.0,86.4,0.387,2.52,174.4,1
339,4.0,-12.0,56.0,0.257,2.29,68.0,1
358,-16.0,-50.4,49.2,0.463,2.44,99.6,1
361,9.6,-18.8,20.8,0.449,3.33,39.6,1
361,114.4,60.4,130.0,0.415,3.01,69.6,1
363,37.6,-9.2,113.6,0.461,2.88,122.8,1
364,-882.8,-913.2,-859.6,0.361,2.13,53.6,1
386,2.8,-6.8,16.0,0.48,2.89,22.8,1
406,0.4,-16.4,16.8,0.306,2.65,33.2,1
409,22.4,2.0,79.2,0.314,2.12,77.2,1
409,496.8,476.0,506.8,0.338,2.61,30.8,1
416,1847.2,1782.8,1884.8,0.274,2.13,102.0,1
418,-9.2,-70.0,102.0,0.344,2.27,172.0,1
420,1656.4,1610.0,1768.0,0.362,2.83,158.0,1
421,8.8,-56.4,50.0,0.349,2.7,106.4,1
428,-0.8,-20.8,55.6,0.408,2.53,76.4,1
433,-1.2,-10.8,23.6,0.276,2.58,34.4,1
448,1.6,-31.6,52.4,0.425,2.44,84.0,1
458,-12.4,-70.8,3.2,0.485,2.94,74.0,1
467,1043.2,1009.2,1235.6,0.301,2.26,226.4,1
472,-737.6,-840.8,-725.6,0.351,2.33,115.2,1
478,-96.4,-120.8,-78.4,0.436,2.25,42.4,1
489,261.2,230.4,300.0,0.335,2.23,69.6,1
489,2074.8,2053.6,2104.8,0.359,2.47,51.2,1
512,85.2,-4.8,103.2,0.327,2.4,108.0,1
551,-776.4,-789.6,-760.8,0.476,2.41,28.8,1
551,38.8,-13.6,59.2,0.528,3.01,72.8,1
551,931.2,852.8,953.6,0.434,2.51,100.8,1
563,-108.8,-156.0,-3.2,0.273,2.31,152.8,1
564,278.4,198.8,455.6,0.537,2.72,256.8,1
629,-805.6,-838.4,-778.0,0.398,2.4,60.4,1
629,46.8,30.4,64.8,0.305,2.42,34.4,1
642,-72.8,-96.4,4.4,0.507,2.86,100.8,1
665,-7.6,-40.4,30.4,0.403,3.19,70.8,1
667,15.6,-4.8,75.6,0.297,2.57,80.4,1
697,-19.2,-56.8,38.4,0.371,2.56,95.2,1
