object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff
66,-1179.6,-1205.6,-1167.2,-0.56649,-2.38887,38.4
66,-423.2,-464.0,-374.0,-0.46491,-2.28477,90.0
66,11.6,-7.2,34.8,0.51102,3.36637,42.0
66,1178.0,1100.0,1195.2,0.38981,2.70412,95.2
66,1652.8,1638.8,1663.6,-0.37074,-2.33841,24.8
68,-433.2,-448.8,-424.4,-0.32813,-2.12007,24.4
70,-1213.2,-1224.4,-1206.0,-0.63382,-2.58389,18.4
70,-961.2,-971.6,-956.0,-0.50248,-2.30962,15.6
70,-0.8,-10.4,8.0,0.55759,3.73484,18.4
70,736.4,701.6,742.4,-0.34123,-2.5425,40.8
71,-1.6,-10.8,8.8,0.46906,2.53001,19.6
71,600.4,568.4,697.2,0.40361,2.2762,128.8
71,1156.8,1144.4,1165.2,-0.56112,-2.89747,20.8
71,2261.2,2186.8,2323.6,0.59212,3.09764,136.8
77,-1478.8,-1491.2,-1472.0,0.6182,2.65444,19.2
77,-1224.0,-1245.2,-1209.6,-0.65147,-2.85006,35.6
77,-4.0,-19.2,12.4,0.44438,3.50539,31.6
77,2290.0,2261.6,2300.0,-0.29027,-2.19575,38.4
78,-469.6,-479.6,-450.0,0.33939,2.18087,29.6
79,1997.2,1976.8,2119.2,-0.28772,-2.19613,142.4
80,-1342.0,-1381.2,-1317.6,-0.40733,-2.35753,63.6
80,-1176.4,-1210.0,-1166.0,0.42135,2.31718,44.0
80,-151.6,-180.4,-114.0,-0.27625,-2.30852,66.4
80,1364.8,1340.8,1373.2,-0.18685,-2.2122,32.4
84,-639.6,-697.6,-584.8,0.5529,2.48437,112.8
84,-4.4,-36.8,28.8,0.55316,3.06091,65.6
84,984.0,942.4,1014.0,-0.44914,-2.61037,71.6
84,2161.2,2135.2,2201.2,0.39036,2.45972,66.0
85,-1382.0,-1391.2,-1368.0,0.50912,2.56103,23.2
85,-464.4,-480.4,-420.4,-0.4825,-2.86682,60.0
85,-341.6,-350.4,-305.2,-0.39683,-2.50225,45.2
85,-4.0,-17.6,8.4,0.42971,2.89134,26.0
85,254.0,212.4,280.4,-0.4914,-3.17126,68.0
85,1807.6,1789.6,1826.0,0.46334,3.68436,36.4
86,-1059.2,-1100.8,-1048.4,0.63559,2.85867,52.4
86,-836.4,-877.2,-826.8,-0.4996,-3.12276,50.4
86,-588.0,-605.6,-582.8,0.3685,2.21127,22.8
86,-312.0,-351.2,-291.6,-0.46319,-2.97353,59.6
86,2.4,-8.4,12.0,0.68315,4.75016,20.4
86,237.6,208.8,250.0,-0.35646,-2.89982,41.2
86,456.8,448.4,470.0,0.31889,2.30113,21.6
86,1828.0,1798.0,1833.6,0.35536,2.72338,35.6
86,1894.0,1883.2,1930.0,0.33048,2.32347,46.8
86,2488.0,2437.2,2572.8,-0.41267,-2.60191,135.6
87,4.0,-10.4,17.2,0.30721,2.38616,27.6
87,686.4,664.8,695.2,-0.33669,-2.70393,30.4
87,1405.2,1371.2,1419.6,0.36192,2.56529,48.4
92,521.2,501.2,548.4,0.34122,2.36396,47.2
